text,rating,category_clean,product_name,cluster
Barang sesuai pesanan dan cepat sampai,5.0,pertukangan,Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart,0
Barang bagus harga murah,5.0,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,0
Paket rapi...mantap....cepat....sampe ke tujuan,5.0,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,0
ya saya puas dgn barangnya,5.0,pertukangan,ALAT STAPLES TEMBAK &#40;AIR NAILER GUN&#41; OSSEL 1022J,0
Responya luar biasa b mantap,5.0,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,0
"seller top, pengiriman cepat barang oke",5.0,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,0
pengiriman cepat seller top,5.0,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,0
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,5.0,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,0
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
"Barang mantap, pelayanan cepat",5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih,3.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,3
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
Mantaaaaaaaappp..........,5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
josss pokok e bisa buat langganan,5.0,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,0
